2025-12-22 14:52:07,248.9MiB / 7.654GiB,3.18%,93.40%,83.8MB / 38.2MB,161MB / 77.9MB
2025-12-22 14:52:19,249MiB / 7.654GiB,3.18%,98.92%,83.9MB / 38.3MB,161MB / 77.9MB
2025-12-22 14:52:31,251.8MiB / 7.654GiB,3.21%,100.41%,84.1MB / 38.4MB,162MB / 77.9MB
2025-12-22 14:52:43,249.5MiB / 7.654GiB,3.18%,98.54%,84.3MB / 38.5MB,162MB / 77.9MB
2025-12-22 14:52:55,249.4MiB / 7.654GiB,3.18%,100.56%,84.5MB / 38.6MB,162MB / 77.9MB
2025-12-22 14:53:06,249.6MiB / 7.654GiB,3.18%,96.04%,84.7MB / 38.6MB,162MB / 78MB
2025-12-22 14:53:18,249.7MiB / 7.654GiB,3.19%,97.79%,84.8MB / 38.7MB,162MB / 78MB
2025-12-22 14:53:30,251.4MiB / 7.654GiB,3.21%,106.66%,84.9MB / 38.8MB,162MB / 78MB
2025-12-22 14:53:41,250MiB / 7.654GiB,3.19%,96.18%,85.1MB / 38.8MB,162MB / 78MB
2025-12-22 14:53:53,250.5MiB / 7.654GiB,3.20%,97.12%,85.2MB / 38.9MB,162MB / 78MB
2025-12-22 14:54:05,250.6MiB / 7.654GiB,3.20%,96.42%,85.4MB / 39MB,162MB / 78MB
2025-12-22 14:54:16,250.5MiB / 7.654GiB,3.20%,101.35%,85.6MB / 39.1MB,162MB / 78MB
2025-12-22 14:54:28,250.7MiB / 7.654GiB,3.20%,100.75%,85.8MB / 39.2MB,162MB / 78MB
2025-12-22 14:54:40,250.8MiB / 7.654GiB,3.20%,89.39%,85.9MB / 39.2MB,162MB / 78MB
2025-12-22 14:54:51,251.2MiB / 7.654GiB,3.21%,90.12%,86.1MB / 39.3MB,162MB / 78MB
2025-12-22 14:55:03,251.1MiB / 7.654GiB,3.20%,94.99%,86.2MB / 39.3MB,162MB / 78.1MB
2025-12-22 14:55:15,251.3MiB / 7.654GiB,3.21%,98.91%,86.3MB / 39.4MB,162MB / 78.1MB
2025-12-22 14:55:26,251.7MiB / 7.654GiB,3.21%,103.97%,86.5MB / 39.5MB,162MB / 78.1MB
2025-12-22 14:55:38,251.9MiB / 7.654GiB,3.21%,100.21%,86.7MB / 39.6MB,162MB / 78.1MB
2025-12-22 14:55:50,251.8MiB / 7.654GiB,3.21%,102.64%,86.9MB / 39.7MB,162MB / 78.1MB
2025-12-22 14:56:02,252MiB / 7.654GiB,3.21%,98.42%,87.1MB / 39.8MB,162MB / 78.1MB
2025-12-22 14:56:14,252.1MiB / 7.654GiB,3.22%,102.47%,87.2MB / 39.8MB,162MB / 78.1MB
2025-12-22 14:56:26,252.4MiB / 7.654GiB,3.22%,96.76%,87.4MB / 39.9MB,162MB / 78.1MB
2025-12-22 14:56:37,252.4MiB / 7.654GiB,3.22%,97.60%,87.5MB / 40MB,162MB / 78.1MB
2025-12-22 14:56:49,252.8MiB / 7.654GiB,3.23%,90.78%,87.7MB / 40MB,162MB / 78.1MB
2025-12-22 14:57:01,252.9MiB / 7.654GiB,3.23%,93.32%,87.8MB / 40.1MB,162MB / 78.1MB
2025-12-22 14:57:13,252.9MiB / 7.654GiB,3.23%,95.33%,87.9MB / 40.1MB,162MB / 78.2MB
2025-12-22 14:57:25,253MiB / 7.654GiB,3.23%,96.90%,88.1MB / 40.2MB,162MB / 78.2MB
2025-12-22 14:57:36,253.2MiB / 7.654GiB,3.23%,100.42%,88.3MB / 40.3MB,162MB / 78.2MB
2025-12-22 14:57:48,253.3MiB / 7.654GiB,3.23%,99.25%,88.5MB / 40.4MB,162MB / 78.2MB
2025-12-22 14:58:00,253.5MiB / 7.654GiB,3.23%,98.45%,88.6MB / 40.5MB,162MB / 78.2MB
2025-12-22 14:58:11,253.6MiB / 7.654GiB,3.24%,99.23%,88.8MB / 40.5MB,162MB / 78.2MB
2025-12-22 14:58:23,253.8MiB / 7.654GiB,3.24%,98.14%,88.9MB / 40.6MB,162MB / 78.2MB
2025-12-22 14:58:35,254.2MiB / 7.654GiB,3.24%,94.60%,89.1MB / 40.7MB,162MB / 78.2MB
2025-12-22 14:58:47,254.3MiB / 7.654GiB,3.25%,97.99%,89.2MB / 40.7MB,162MB / 78.2MB
2025-12-22 14:58:58,254.2MiB / 7.654GiB,3.24%,99.63%,89.4MB / 40.8MB,162MB / 78.2MB
2025-12-22 14:59:10,254.4MiB / 7.654GiB,3.25%,99.90%,89.6MB / 40.9MB,162MB / 78.2MB
2025-12-22 14:59:22,254.6MiB / 7.654GiB,3.25%,86.56%,89.7MB / 41MB,162MB / 78.2MB
2025-12-22 14:59:34,254.7MiB / 7.654GiB,3.25%,102.36%,89.9MB / 41.1MB,162MB / 78.3MB
2025-12-22 14:59:45,255.1MiB / 7.654GiB,3.25%,93.89%,90.1MB / 41.1MB,162MB / 78.3MB
2025-12-22 14:59:57,255MiB / 7.654GiB,3.25%,98.02%,90.2MB / 41.2MB,162MB / 78.3MB
2025-12-22 15:00:09,255.5MiB / 7.654GiB,3.26%,90.24%,90.3MB / 41.3MB,162MB / 78.3MB
2025-12-22 15:00:21,255.6MiB / 7.654GiB,3.26%,94.94%,90.5MB / 41.3MB,162MB / 78.3MB
2025-12-22 15:00:33,255.5MiB / 7.654GiB,3.26%,99.55%,90.7MB / 41.4MB,162MB / 78.3MB
2025-12-22 15:00:45,258.3MiB / 7.654GiB,3.30%,97.47%,90.9MB / 41.5MB,162MB / 78.3MB
2025-12-22 15:00:57,256.1MiB / 7.654GiB,3.27%,101.38%,91MB / 41.6MB,162MB / 78.3MB
2025-12-22 15:01:08,256.2MiB / 7.654GiB,3.27%,90.31%,91.2MB / 41.7MB,162MB / 78.3MB
2025-12-22 15:01:20,256.1MiB / 7.654GiB,3.27%,92.14%,91.3MB / 41.7MB,162MB / 78.3MB
