timestamp,minutes_elapsed,cpu_percent,memory_mb,memory_limit_mb,memory_percent,net_io,block_io
2025-12-23 11:52:48,32,105.61,219.9,7837.7,,,
2025-12-23 11:52:59,32,109.74,218.6,7837.7,,,
2025-12-23 11:53:11,32,95.13,217.2,7837.7,,,
2025-12-23 11:53:23,32,100.58,215.2,7837.7,,,
2025-12-23 11:53:35,33,99.08,215.5,7837.7,,,
2025-12-23 11:53:47,33,96.37,213.9,7837.7,,,
2025-12-23 11:53:58,33,84.80,213.7,7837.7,,,
2025-12-23 11:54:10,33,99.80,213.4,7837.7,,,
2025-12-23 11:54:22,33,99.96,211.1,7837.7,,,
2025-12-23 11:54:34,34,102.39,210.4,7837.7,,,
2025-12-23 11:54:46,34,100.03,210.8,7837.7,,,
2025-12-23 11:54:58,34,94.97,210.9,7837.7,,,
2025-12-23 11:55:09,34,100.58,210.8,7837.7,,,
2025-12-23 11:55:21,34,104.04,211,7837.7,,,
2025-12-23 11:55:33,35,104.60,211.1,7837.7,,,
2025-12-23 11:55:45,35,77.01,211.3,7837.7,,,
2025-12-23 11:55:57,35,93.51,211.4,7837.7,,,
2025-12-23 11:56:08,35,105.86,211.6,7837.7,,,
2025-12-23 11:56:20,35,94.47,211.8,7837.7,,,
2025-12-23 11:56:32,36,104.60,211.9,7837.7,,,
2025-12-23 11:56:44,36,98.11,212,7837.7,,,
2025-12-23 11:56:56,36,107.92,212.2,7837.7,,,
2025-12-23 11:57:08,36,104.94,212.3,7837.7,,,
2025-12-23 11:57:19,36,56.18,212.5,7837.7,,,
2025-12-23 11:57:31,36,94.17,211.3,7837.7,,,
2025-12-23 11:57:43,37,99.58,211.5,7837.7,,,
2025-12-23 11:57:55,37,101.73,210.7,7837.7,,,
2025-12-23 11:58:07,37,100.17,202.5,7837.7,,,
2025-12-23 11:58:18,37,91.35,202.1,7837.7,,,
2025-12-23 11:58:30,37,98.84,207.9,7837.7,,,
2025-12-23 11:58:42,38,98.67,208.8,7837.7,,,
2025-12-23 11:58:54,38,102.78,209.1,7837.7,,,
2025-12-23 11:59:06,38,98.30,208.8,7837.7,,,
2025-12-23 11:59:18,38,95.39,209.2,7837.7,,,
2025-12-23 11:59:29,38,106.08,209.3,7837.7,,,
2025-12-23 11:59:41,39,99.54,209.8,7837.7,,,
2025-12-23 11:59:53,39,96.84,209.5,7837.7,,,
2025-12-23 12:00:05,39,70.80,209.6,7837.7,,,
2025-12-23 12:00:17,39,100.53,210,7837.7,,,
2025-12-23 12:00:29,39,71.54,209.9,7837.7,,,
2025-12-23 12:00:40,40,94.22,210.2,7837.7,,,
2025-12-23 12:00:52,40,95.50,210.4,7837.7,,,
2025-12-23 12:01:04,40,90.77,210.4,7837.7,,,
2025-12-23 12:01:16,40,103.08,210.7,7837.7,,,
2025-12-23 12:01:28,40,108.71,210.7,7837.7,,,
2025-12-23 12:01:40,41,95.63,211.7,7837.7,,,
2025-12-23 12:01:51,41,103.83,211.6,7837.7,,,
2025-12-23 12:02:03,41,98.83,211.8,7837.7,,,
2025-12-23 12:02:15,41,100.06,211.9,7837.7,,,
2025-12-23 12:02:27,41,77.90,212.3,7837.7,,,
2025-12-23 12:02:38,42,99.25,212.4,7837.7,,,
2025-12-23 12:02:50,42,102.93,212.4,7837.7,,,
2025-12-23 12:03:02,42,97.26,213.5,7837.7,,,
2025-12-23 12:03:14,42,87.86,202.1,7837.7,,,
2025-12-23 12:03:26,42,106.96,202.1,7837.7,,,
2025-12-23 12:03:38,43,101.94,202.2,7837.7,,,
2025-12-23 12:03:50,43,102.69,202.4,7837.7,,,
2025-12-23 12:04:01,43,102.83,202.5,7837.7,,,
2025-12-23 12:04:13,43,97.78,202.9,7837.7,,,
2025-12-23 12:04:25,43,86.57,203.1,7837.7,,,
2025-12-23 12:04:37,44,106.20,203,7837.7,,,
2025-12-23 12:04:48,44,102.96,203.2,7837.7,,,
2025-12-23 12:05:00,44,98.21,205,7837.7,,,
2025-12-23 12:05:12,44,95.32,204.4,7837.7,,,
2025-12-23 12:05:24,44,94.43,203.9,7837.7,,,
2025-12-23 12:05:36,45,103.38,204,7837.7,,,
2025-12-23 12:05:48,45,103.37,204.2,7837.7,,,
2025-12-23 12:05:59,45,96.37,204.1,7837.7,,,
2025-12-23 12:06:11,45,111.68,204.2,7837.7,,,
2025-12-23 12:06:23,45,95.23,204.4,7837.7,,,
2025-12-23 12:06:35,46,102.21,204.6,7837.7,,,
2025-12-23 12:06:47,46,93.50,203.7,7837.7,,,
2025-12-23 12:06:58,46,93.39,204.2,7837.7,,,
2025-12-23 12:07:10,46,110.41,204.3,7837.7,,,
2025-12-23 12:07:22,46,95.83,208,7837.7,,,
2025-12-23 12:07:34,47,104.81,205.5,7837.7,,,
2025-12-23 12:07:46,47,100.58,204.6,7837.7,,,
2025-12-23 12:07:58,47,105.21,204.5,7837.7,,,
2025-12-23 12:08:10,47,107.17,204.4,7837.7,,,
2025-12-23 12:08:21,47,105.10,204.5,7837.7,,,
2025-12-23 12:08:33,48,104.77,204.6,7837.7,,,
2025-12-23 12:08:45,48,97.10,203.6,7837.7,,,
2025-12-23 12:08:57,48,97.13,203.1,7837.7,,,
2025-12-23 12:09:09,48,115.58,203,7837.7,,,
2025-12-23 12:09:20,48,102.20,204.6,7837.7,,,
2025-12-23 12:09:32,49,102.07,203.3,7837.7,,,
2025-12-23 12:09:44,49,98.17,203.7,7837.7,,,
2025-12-23 12:09:56,49,98.87,203.9,7837.7,,,
2025-12-23 12:10:08,49,95.22,203.8,7837.7,,,
2025-12-23 12:10:19,49,100.68,204,7837.7,,,
2025-12-23 12:10:31,49,85.29,204.1,7837.7,,,
2025-12-23 12:10:43,50,100.45,204.3,7837.7,,,
2025-12-23 12:10:55,50,106.16,204.8,7837.7,,,
2025-12-23 12:11:07,50,94.10,205,7837.7,,,
2025-12-23 12:11:19,50,96.62,204.8,7837.7,,,
2025-12-23 12:11:30,50,91.95,204.9,7837.7,,,
2025-12-23 12:11:42,51,103.13,205.1,7837.7,,,
2025-12-23 12:11:54,51,102.66,205.2,7837.7,,,
2025-12-23 12:12:06,51,98.04,209.2,7837.7,,,
2025-12-23 12:12:18,51,84.22,209.6,7837.7,,,
2025-12-23 12:12:30,51,89.25,209.5,7837.7,,,
2025-12-23 12:12:41,52,93.08,209.7,7837.7,,,
2025-12-23 12:12:53,52,93.31,209.9,7837.7,,,
2025-12-23 12:13:05,52,101.92,210.3,7837.7,,,
2025-12-23 12:13:17,52,106.18,210.2,7837.7,,,
2025-12-23 12:13:29,52,89.29,212.4,7837.7,,,
2025-12-23 12:13:40,53,101.40,213.4,7837.7,,,
2025-12-23 12:13:52,53,85.40,213.3,7837.7,,,
2025-12-23 12:14:04,53,99.72,213.2,7837.7,,,
2025-12-23 12:14:16,53,96.87,213.4,7837.7,,,
2025-12-23 12:14:28,53,95.09,213.7,7837.7,,,
2025-12-23 12:14:39,54,98.73,215.4,7837.7,,,
2025-12-23 12:14:51,54,104.76,213.9,7837.7,,,
2025-12-23 12:15:03,54,97.96,214.1,7837.7,,,
2025-12-23 12:15:15,54,99.88,213.6,7837.7,,,
2025-12-23 12:15:27,54,92.99,214.5,7837.7,,,
2025-12-23 12:15:39,55,96.94,214.9,7837.7,,,
2025-12-23 12:15:50,55,76.91,213.8,7837.7,,,
2025-12-23 12:16:02,55,81.07,214.1,7837.7,,,
2025-12-23 12:16:14,55,98.86,214.6,7837.7,,,
2025-12-23 12:16:26,55,102.45,214.6,7837.7,,,
2025-12-23 12:16:38,56,106.41,214.7,7837.7,,,
2025-12-23 12:16:50,56,95.41,215,7837.7,,,
2025-12-23 12:17:01,56,91.09,215.9,7837.7,,,
2025-12-23 12:17:13,56,104.00,215.8,7837.7,,,
2025-12-23 12:17:25,56,100.61,216,7837.7,,,
2025-12-23 12:17:37,57,97.28,216.1,7837.7,,,
2025-12-23 12:17:49,57,96.58,218.1,7837.7,,,
2025-12-23 12:18:00,57,103.12,217.9,7837.7,,,
2025-12-23 12:18:12,57,86.55,218.7,7837.7,,,
2025-12-23 12:18:24,57,103.63,218.4,7837.7,,,
2025-12-23 12:18:37,58,97.87,218.2,7837.7,,,
2025-12-23 12:18:48,58,99.82,218.6,7837.7,,,
2025-12-23 12:19:00,58,107.63,218.7,7837.7,,,
2025-12-23 12:19:11,58,75.37,218.7,7837.7,,,
2025-12-23 12:19:23,58,100.14,218.9,7837.7,,,
2025-12-23 12:19:35,59,95.65,220.6,7837.7,,,
2025-12-23 12:19:47,59,106.02,219.2,7837.7,,,
2025-12-23 12:19:59,59,99.33,219.5,7837.7,,,
2025-12-23 12:20:10,59,103.55,219.4,7837.7,,,
2025-12-23 12:20:22,59,99.59,219.9,7837.7,,,
2025-12-23 12:20:35,60,94.29,220,7837.7,,,
2025-12-23 12:20:46,60,98.38,219.9,7837.7,,,
2025-12-23 12:20:58,60,100.96,219.4,7837.7,,,
2025-12-23 12:21:10,60,94.32,221.1,7837.7,,,
2025-12-23 12:21:21,60,100.42,220.4,7837.7,,,
2025-12-23 12:21:33,61,87.10,220.5,7837.7,,,
2025-12-23 12:21:45,61,102.95,221.6,7837.7,,,
2025-12-23 12:21:57,61,95.40,219.9,7837.7,,,
2025-12-23 12:22:09,61,106.03,220.7,7837.7,,,
2025-12-23 12:22:20,61,103.75,221.5,7837.7,,,
2025-12-23 12:22:32,62,93.75,222.8,7837.7,,,
2025-12-23 12:22:43,62,132.52,221.9,7837.7,,,
2025-12-23 12:22:56,62,91.09,222.3,7837.7,,,
2025-12-23 12:23:07,62,99.91,222.5,7837.7,,,
2025-12-23 12:23:19,62,99.61,222.7,7837.7,,,
2025-12-23 12:23:30,62,102.44,225.5,7837.7,,,
2025-12-23 12:23:42,63,101.41,223.3,7837.7,,,
2025-12-23 12:23:55,63,107.01,223.2,7837.7,,,
2025-12-23 12:24:07,63,97.17,223.4,7837.7,,,
2025-12-23 12:24:18,63,89.03,223.5,7837.7,,,
2025-12-23 12:24:30,63,101.93,223.6,7837.7,,,
2025-12-23 12:24:42,64,95.64,223.8,7837.7,,,
2025-12-23 12:24:53,64,101.28,224,7837.7,,,
2025-12-23 12:25:05,64,103.45,224.4,7837.7,,,
2025-12-23 12:25:17,64,90.61,224.2,7837.7,,,
2025-12-23 12:25:29,64,99.60,224.8,7837.7,,,
2025-12-23 12:25:40,65,86.04,225.3,7837.7,,,
2025-12-23 12:25:52,65,78.67,225.3,7837.7,,,
2025-12-23 12:26:05,65,95.23,225.5,7837.7,,,
2025-12-23 12:26:16,65,95.49,226.2,7837.7,,,
2025-12-23 12:26:28,65,105.05,226,7837.7,,,
2025-12-23 12:26:40,66,90.37,226,7837.7,,,
2025-12-23 12:26:51,66,91.35,225.1,7837.7,,,
2025-12-23 12:27:03,66,93.57,225.5,7837.7,,,
2025-12-23 12:27:16,66,98.20,225.4,7837.7,,,
2025-12-23 12:27:27,66,105.70,228.2,7837.7,,,
2025-12-23 12:27:39,67,100.08,226.1,7837.7,,,
2025-12-23 12:27:50,67,99.16,226.7,7837.7,,,
2025-12-23 12:28:02,67,99.91,226.5,7837.7,,,
2025-12-23 12:28:14,67,95.25,226.3,7837.7,,,
2025-12-23 12:28:27,67,98.20,214.8,7837.7,,,
2025-12-23 12:28:38,68,99.26,213.7,7837.7,,,
2025-12-23 12:28:50,68,100.16,214.4,7837.7,,,
2025-12-23 12:29:01,68,99.51,214.6,7837.7,,,
2025-12-23 12:29:13,68,103.73,214.3,7837.7,,,
2025-12-23 12:29:26,68,98.62,215.7,7837.7,,,
2025-12-23 12:29:37,69,97.16,215.9,7837.7,,,
2025-12-23 12:29:49,69,99.87,216.1,7837.7,,,
2025-12-23 12:30:00,69,101.75,215.9,7837.7,,,
2025-12-23 12:30:12,69,100.70,215.8,7837.7,,,
